Open*,High,Low,Close**,Volume,Market Cap
514.06,540.02,514.06,536.57,"304,026,000","9,285,694,360"
570.11,575.63,513.12,515.66,"374,592,000","8,922,877,508"
554.93,579.6,544.97,569.93,"383,846,000","9,860,902,396"
597.67,606.92,541.05,554.92,"413,731,000","9,600,348,332"
516.56,597.01,516.22,597.01,"463,256,000","10,327,471,783"
512.87,538.27,506.84,517.35,"402,136,000","8,948,374,195"
513.25,540.49,508.14,513.67,"378,019,000","8,883,897,484"
534.98,534.98,481.43,509.31,"420,396,000","8,807,468,662"
571.02,591.86,529.04,535.98,"379,411,000","9,267,806,097"
564.44,580.8,561.09,570.96,"324,257,000","9,871,588,494"
571.89,582.59,548.48,566.77,"341,530,000","9,798,237,015"
610.35,612.66,564.95,572.44,"345,223,000","9,895,148,957"
590.52,619.54,581.33,610.78,"355,208,000","10,556,792,247"
660.05,660.05,575.64,585.45,"450,595,000","10,117,889,996"
692.63,712.34,653.78,659.38,"378,007,000","11,394,551,150"
711.01,718.65,684.44,692.63,"316,406,000","11,967,927,796"
696.07,715.52,687.86,709.22,"313,362,000","12,253,194,394"
723.27,735.04,691.58,695.74,"327,670,000","12,018,987,362"
732.8,732.8,704.59,724.71,"361,851,000","12,518,098,696"
767.68,773.73,726.92,734.76,"387,197,000","12,690,380,884"
779.95,779.95,740.32,769.35,"499,193,000","13,286,522,594"
816.73,816.73,766.34,777.15,"420,759,000","13,419,815,414"
828.55,829.87,790.12,816.08,"568,282,000","14,090,698,576"
821.01,835.62,813.79,828.98,"565,436,032","14,311,866,497"
821.49,826.43,803.73,818.83,"525,351,008","14,135,134,758"
804.35,829.42,785.59,819.39,"589,747,968","14,143,182,949"
830.74,855.97,795.74,806.18,"597,276,992","13,913,836,179"
863.2,870.66,822.51,831.46,"692,334,016","14,348,574,833"
785.6,871.47,778.65,869.47,"905,811,968","15,002,990,004"
789.69,828.39,783.52,784.39,"608,630,016","13,533,403,851"
788.47,820.1,781.3,788.67,"529,767,008","13,605,908,099"
767.88,797.06,750.72,789.49,"513,512,992","13,618,682,843"
823.4,823.4,765.18,767.66,"612,099,008","13,240,791,715"
828.43,840.43,808.73,824.89,"684,182,976","14,226,486,191"
849.77,880.98,814.59,829.94,"720,550,976","14,312,056,081"
803.12,863.29,784.92,850.78,"752,280,000","14,669,907,854"
724.48,806.93,718.95,805.68,"534,068,000","13,890,898,718"
702.99,731.57,698.76,722.97,"322,284,000","12,463,683,162"
696.42,707.05,690.69,704.06,"272,856,000","12,136,402,555"
686.65,708.75,686.65,696.59,"352,371,008","12,006,355,939"
706.98,706.98,669.52,682.76,"336,003,008","11,766,667,946"
688.87,713.76,688.87,707.48,"321,031,008","12,191,463,387"
732.86,739.2,688.63,688.63,"374,505,984","11,865,396,161"
751.57,757.37,731.35,733.38,"338,876,000","12,635,262,088"
775.78,784.44,745.82,751.35,"328,903,008","12,943,531,512"
736.76,775.82,715.29,775.3,"772,953,024","13,354,548,972"
748.48,748.67,705.11,737.33,"375,967,008","12,699,236,146"
763.29,779.14,725.12,748.22,"469,756,992","12,885,612,954"
757.93,808.23,742.93,762.4,"420,710,016","13,128,203,652"
775.07,819.37,754.82,757.95,"478,640,000","13,050,265,126"
739.25,798.31,724.32,776.17,"413,921,984","13,362,677,311"
749.18,752.91,719.76,739.42,"558,793,984","12,728,748,477"
717.04,762.92,717.04,748.71,"576,081,024","12,887,050,715"
663,729.55,652.81,715.71,"407,536,000","12,317,788,897"
714.7,720.24,651.21,660.24,"340,686,016","11,361,954,618"
698.28,719.93,691.39,713.77,"333,936,992","12,282,011,821"
757.25,757.7,700.26,700.26,"357,417,984","12,048,157,420"
748.63,774.65,739.04,756.85,"447,070,016","13,020,419,082"
764.62,767.02,676.94,749.36,"642,142,016","12,890,445,591"
755.24,776.89,742.33,762.76,"397,206,016","13,119,368,990"
874.97,876.38,735.41,755.97,"589,187,968","13,001,267,500"
890.64,900.72,869.14,874.09,"361,313,984","15,031,302,840"
905.71,906.48,866.06,890.45,"430,131,008","15,311,038,807"
885.99,918.2,878.48,904.65,"397,230,016","15,553,580,063"
849.81,892.96,830.29,885.64,"381,404,000","15,224,997,908"
853.06,865.08,849.22,852.1,"290,560,992","14,646,877,140"
847.16,861.46,839.34,852.19,"311,148,000","14,646,873,027"
896.43,897.09,843.08,849.32,"371,601,984","14,595,956,015"
844.36,898.93,832.88,897.6,"522,806,016","15,424,258,128"
876.89,881.13,818.62,844.24,"547,672,000","14,505,818,809"
957.14,960.15,862.45,874.43,"523,140,992","15,023,005,659"
937.63,975.83,906.01,958.56,"619,150,976","16,466,571,854"
"1,087.46","1,087.46",909.61,939.55,"757,265,984","16,138,135,358"
"1,117.35","1,137.32","1,092.13","1,092.13","407,028,000","18,757,223,537"
"1,145.34","1,149.80","1,096.91","1,118.19","503,856,000","19,202,774,712"
"1,135.15","1,166.25","1,133.34","1,143.75","561,721,024","19,639,588,594"
"1,157.33","1,157.33","1,107.21","1,131.17","608,502,976","19,421,623,315"
"1,110.07","1,158.73","1,064.72","1,152.89","727,427,008","19,792,584,942"
"1,170.78","1,206.53","1,086.85","1,105.80","910,656,000","18,982,052,220"
"1,083.13","1,190.57","1,074.82","1,170.40","842,262,016","20,088,760,230"
"1,003.33","1,093.86",996.59,"1,084.78","689,121,024","18,617,224,876"
995.66,"1,010.34",979.83,"1,002.92","538,528,000","17,210,408,076"
983.57,"1,027.73",975.4,995.34,"705,260,032","17,078,622,466"
990.07,"1,025.64",954.89,984.68,"591,774,976","16,893,852,272"
896.85,"1,003.51",880.89,987.66,"688,334,016","16,943,358,765"
996.65,"1,005.65",884.05,892.12,"566,168,000","15,302,656,175"
"1,009.20","1,009.79",982.27,996.92,"507,305,984","17,098,555,063"
"1,015.68","1,046.49","1,001.18","1,012.48","486,185,984","17,363,589,040"
"1,072.74","1,073.05",998.52,"1,017.30","620,339,968","17,444,380,643"
"1,005.01","1,078.36",958.82,"1,071.36","785,384,000","18,369,471,600"
"1,142.25","1,153.91",978.27,"1,005.61","858,105,984","17,240,265,831"
"1,233.70","1,233.70","1,131.93","1,141.86","634,201,984","19,574,049,585"
"1,296.03","1,301.55","1,221.57","1,233.64","622,772,992","21,145,453,148"
"1,183.20","1,306.95","1,174.97","1,291.77","805,598,976","22,139,339,235"
"1,206.61","1,208.99","1,159.66","1,184.96","595,862,016","20,306,600,272"
"1,202.20","1,218.00","1,143.12","1,207.24","876,974,976","20,686,223,396"
"1,290.22","1,335.41","1,185.99","1,206.17","804,139,008","20,665,642,307"
"1,341.89","1,359.36","1,241.99","1,280.62","913,177,984","21,939,149,631"
"1,430.28","1,456.35","1,323.31","1,343.38","939,358,016","23,011,847,516"
"1,489.33","1,501.64","1,353.79","1,431.69","1,158,710,016","24,522,075,801"
"1,474.76","1,507.88","1,427.09","1,493.12","921,628,032","25,571,546,400"
"1,376.05","1,501.65","1,284.44","1,472.40","1,461,449,984","25,214,058,585"
"1,527.49","1,556.64","1,332.58","1,371.74","1,513,260,032","23,487,841,058"
"1,646.15","1,669.83","1,523.56","1,528.59","1,070,040,000","26,170,760,102"
"1,607.87","1,679.03","1,484.29","1,638.34","1,273,219,968","28,046,926,773"
"1,673.07","1,693.35","1,569.44","1,611.94","1,060,739,968","27,592,020,264"
"1,766.66","1,781.47","1,590.30","1,655.20","1,407,629,952","28,329,658,360"
"1,758.83","1,838.49","1,670.34","1,765.69","1,946,960,000","30,217,488,953"
"1,516.74","1,753.11","1,515.07","1,752.10","1,664,400,000","29,981,891,398"
"1,501.40","1,538.46","1,466.21","1,517.33","960,185,024","25,961,592,167"
"1,459.55","1,536.80","1,454.97","1,511.97","1,282,659,968","25,867,122,953"
"1,353.54","1,480.58","1,326.91","1,458.72","1,165,139,968","24,953,703,084"
"1,348.64","1,351.28","1,261.60","1,351.28","774,633,024","23,113,272,798"
"1,440.96","1,440.96","1,339.36","1,350.05","753,113,984","23,089,803,896"
"1,393.99","1,477.31","1,378.01","1,440.30","1,049,449,984","24,630,696,326"
"1,337.96","1,418.61","1,334.27","1,396.25","808,801,984","23,874,967,438"
"1,422.06","1,422.06","1,337.85","1,337.85","905,273,024","22,873,890,375"
"1,289.54","1,420.41","1,250.86","1,420.41","1,281,929,984","24,282,832,217"
"1,426.71","1,437.18","1,246.61","1,284.79","1,830,969,984","21,962,007,542"
"1,434.01","1,560.94","1,414.11","1,426.42","2,053,920,000","24,380,281,489"
"1,194.71","1,443.27","1,194.71","1,432.26","1,934,290,048","24,477,753,078"
"1,147.48","1,250.51","1,116.27","1,201.22","968,409,024","20,527,017,940"
"1,126.86","1,172.28","1,028.03","1,154.69","1,093,510,016","19,729,798,322"
970.15,"1,142.50",947.88,"1,128.02","1,006,640,000","19,271,883,294"
890.66,983.58,878.45,968.64,"658,164,992","16,547,121,874"
758.25,893.57,757.39,888.91,"634,652,992","15,183,404,214"
766.7,784.49,755.38,757.59,"331,700,992","12,938,925,099"
781.12,797.88,745.73,766.47,"382,080,000","13,089,241,458"
741.91,785.35,741.91,780.83,"327,336,000","13,332,965,082"
738.72,760.48,723.22,738.98,"267,415,008","12,617,189,720"
735.78,781.13,725.4,738.3,"384,095,008","12,604,116,397"
666.39,734.48,658.93,734.48,"417,016,992","12,537,506,749"
648.9,666.58,648.9,666.58,"252,158,000","11,377,412,411"
637.7,657.01,628.86,649.62,"225,054,000","11,086,647,103"
656.09,680.6,627.32,637.03,"254,947,008","10,870,684,888"
640.89,659.81,640.89,655.26,"198,906,000","11,180,534,840"
611.2,652.59,610.41,640.35,"231,143,008","10,925,007,141"
641.86,646.08,603.71,610.43,"225,186,000","10,413,379,219"
648.63,655.52,620.1,646.04,"243,988,992","11,019,780,660"
710.47,711.27,638.01,649.2,"282,960,000","11,072,508,447"
664.15,719.77,660.34,712.88,"303,771,008","12,157,350,124"
644.46,686.03,641.43,662.77,"282,036,000","11,301,621,765"
